"sid","sinc","dept","scode","stitle","pcode","sem","ord","tp","part","sbatch","credits","my","totmax","ciamax","seemax","tstatus","valcode","facid","OMR"
"1","0","ENG","23ENLAL111","ENGLISH-I","11","1","1","T","1","2024","3","DEC-2024","100","30","70","1","121001","0","0"
"2","1","TEL","23TELAL111A","TELUGU-I","11","1","2","T","1","2024","3","DEC-2024","100","30","70","1","133001","0","0"
"3","0","HIN","23HILAL111A","HINDI-I","11","1","2","T","1","2024","3","DEC-2024","100","30","70","1","124001","0","0"
"4","0","ECO","23ECMAL111","FUNDAMENTALS OF SOCIAL SCIENCES","11","1","5","T","2","2024","4","DEC-2024","100","30","70","1","117001","0","0"
"5","0","ECO","23ECMAL112","PERSPECTIVES ON INDIAN SOCIETY","11","1","6","T","2","2024","4","DEC-2024","100","30","70","1","118001","0","0"
"6","0","ENG","23ENSDL101","BUSINESS WRITING","11","1","15","G","3","2024","2","DEC-2024","50","15","35","1","723001","0","0"
"7","0","CVAC","23BOCVL101","ENVIRONMENTAL EDUCATION","11","1","16","G","3","2024","2","DEC-2024","50","15","35","1","707001","0","0"
"8","0","BOT","23BOMDL101","PRINCIPLES OF BIOLOGICAL SCIENCES","11","1","17","G","3","2024","2","DEC-2024","50","15","35","1","708001","0","0"
"9","0","VAC","23STVAP101","FUNDAMENTALS OF STATISTICS USING MS-EXCEL LAB","11","1","25","EP","4","2024","2","DEC-2024","50","15","35","0",,"0","0"
"10","0","ENG","23ENLAL111","ENGLISH-I           ","21","1","1","T","1","2024","3","DEC-2024","100","30","70","1","121001","0","0"
"11","1","TEL","23TELAL111A","TELUGU-I                  ","21","1","2","T","1","2024","3","DEC-2024","100","30","70","1","133001","0","0"
"12","0","HIN","23HILAL111A","HINDI-I                    ","21","1","2","T","1","2024","3","DEC-2024","100","30","70","1","124001","0","0"
"13","0","COM","23COMAL111","FUNDAMENTALS OF COMMERCE","21","1","5","T","2","2024","4","DEC-2024","100","30","70","1","109001","0","0"
"14","0","COM","23COMAL112","BUSINESS ORGANIZATION","21","1","6","T","2","2024","4","DEC-2024","100","30","70","1","110001","0","0"
"15","0","CSC","23CSSDP101","COMPUTER FUNDAMENTALS AND OFFICE TOOLS (ICT) LAB-I","21","1","15","L","3","2024","2","DEC-2024","50","15","35","0",,"0","0"
"16","0","CVAC","23BOCVL101","ENVIRONMENTAL EDUCATION","21","1","16","G","3","2024","2","DEC-2024","50","15","35","1","707001","0","0"
"17","0","MAT","23MAMDL101","BASIC MATHEMATICS","21","1","17","G","3","2024","2","DEC-2024","50","15","35","1","725001","0","0"
"18","0","VAC","23COVAL101","FINANCIAL EDUCATION","21","1","25","E","4","2024","2","DEC-2024","50","15","35","1","712001","0","0"
"19","0","ENG","23ENLAL111","ENGLISH-I             ","22","1","1","T","1","2024","3","DEC-2024","100","30","70","1","121001","0","0"
"20","1","TEL","23TELAL111A","TELUGU-I                  ","22","1","2","T","1","2024","3","DEC-2024","100","30","70","1","133001","0","0"
"21","0","HIN","23HILAL111A","HINDI-I                    ","22","1","2","T","1","2024","3","DEC-2024","100","30","70","1","124001","0","0"
"22","0","COM","23COMAL111","FUNDAMENTALS OF COMMERCE","22","1","5","T","2","2024","4","DEC-2024","100","30","70","1","109001","0","0"
"23","0","COM","23COMAL112","BUSINESS ORGANIZATION","22","1","6","T","2","2024","4","DEC-2024","100","30","70","1","110001","0","0"
"24","0","COM","23COSDL101","ENTREPRENEURSHIP DEVELOPMENT","22","1","15","G","3","2024","2","DEC-2024","50","15","35","1","711001","0","0"
"25","0","CVAC","23BOCVL101","ENVIRONMENTAL EDUCATION","22","1","16","G","3","2024","2","DEC-2024","50","15","35","1","707001","0","0"
"26","0","MAT","23MAMDL101","BASIC MATHEMATICS","22","1","17","G","3","2024","2","DEC-2024","50","15","35","1","725001","0","0"
"27","0","VAC","23COVAL101","FINANCIAL EDUCATION","22","1","25","E","4","2024","2","DEC-2024","50","15","35","1","712001","0","0"
"28","0","ENG","23ENLAL111","ENGLISH-I           ","23","1","1","T","1","2024","3","DEC-2024","100","30","70","1","121001","0","0"
"29","1","TEL","23TELAL111A","TELUGU-I                  ","23","1","2","T","1","2024","3","DEC-2024","100","30","70","1","133001","0","0"
"30","0","HIN","23HILAL111A","HINDI-I                    ","23","1","2","T","1","2024","3","DEC-2024","100","30","70","1","124001","0","0"
"31","0","COM","23COMAL111","FUNDAMENTALS OF COMMERCE","23","1","5","T","2","2024","4","DEC-2024","100","30","70","1","109001","0","0"
"32","0","COM","23COMAL112","BUSINESS ORGANIZATION","23","1","6","T","2","2024","4","DEC-2024","100","30","70","1","110001","0","0"
"33","0","COM","23COSDL101","ENTREPRENEURSHIP DEVELOPMENT","23","1","15","G","3","2024","2","DEC-2024","50","15","35","1","711001","0","0"
