"pid";"pcode";"pname";"ptitle";"pshort";"pbatch";"pstatus";"pdate";"user";"ptime";"cname";"pdegree";"dept"
"1";"11";"Economics";"B.A.-Honours";"B.A.-Honours(Economics)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"ECO"
"2";"21";"General";"B.Com.-Honours";"B.Com.-Honours(General)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"COM"
"3";"22";"Computer Applications";"B.Com.-Honours";"B.Com.-Honours(Computer Applications)-A";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"COM"
"4";"23";"Computer Applications";"B.Com.-Honours";"B.Com.-Honours(Computer Applications)-B";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"COM"
"5";"24";"Computer Applications";"B.Com.-Honours";"B.Com.-Honours(Computer Applications)-C";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"COM"
"6";"25";"Tax Procedures and Practice";"B.Com.-Honours";"B.Com.-Honours(Tax Procecures and Practice)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"COM"
"7";"26";"Finance";"B.Com.-Honours";"B.Com.-Honours(Finance)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"COM"
"8";"27";"Business Process Management";"B.Com.-Honours";"B.Com.-Honours(Business Process Management)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"COM"
"9";"28";"Banking";"B.Com.-Honours";"B.Com.-Honours(Banking)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"COM"
"10";"31";".";"B.B.A.-Honours";"B.B.A.-Honours-A";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"BBA"
"11";"32";".";"B.B.A.-Honours";"B.B.A.-Honours-B";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"BBA"
"12";"33";"Business Analytics";"B.B.A.-Honours";"B.B.A.-Honours(Business Analytics)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"BBABA"
"13";"41";".";"B.C.A.-Honours";"B.C.A.-Honours-A";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"CSC"
"14";"42";".";"B.C.A.-Honours";"B.C.A.-Honours-B";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"CSC"
"15";"51";"Botany";"B.Sc.-Honours";"B.Sc.-Honours(Botany)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"BOT"
"16";"52";"Zoology";"B.Sc.-Honours";"B.Sc.-Honours(Zoology)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"ZOO"
"17";"61";"Mathematics";"B.Sc.-Honours";"B.Sc.-Honours(Mathematics)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"MAT"
"18";"62";"Chemistry";"B.Sc.-Honours";"B.Sc.-Honours(Chemistry)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"CHE"
"19";"63";"Physics";"B.Sc.-Honours";"B.Sc.-Honours(Physics)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"PHY"
"20";"64";"Electronics";"B.Sc.-Honours";"B.Sc.-Honours(Electronics)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"ELE"
"21";"65";"Statistics";"B.Sc.-Honours";"B.Sc.-Honours(Statistics)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"STA"
"22";"71";"Computer Science";"B.Sc.-Honours";"B.Sc.-Honours(Computer Science)-A";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"CSC"
"23";"72";"Computer Science";"B.Sc.-Honours";"B.Sc.-Honours(Computer Science)-B";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"CSC"
"24";"73";"Computer Science";"B.Sc.-Honours";"B.Sc.-Honours(Computer Science)-C";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"CSC"
"25";"74";"Data Science";"B.Sc.-Honours";"B.Sc.-Honours(Data Science)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"DSAI"
"26";"75";"Data Analytics";"B.Sc.-Honours";"B.Sc.-Honours(Data Analytics)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"DSAI"
"27";"76";"Computer Science with Cognitive Systems";"B.Sc.-Honours";"B.Sc.-Honours(Computer Science and Cognitive Systems)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"CSC"
"28";"77";"Artificial Intelligence";"B.Sc.-Honours";"B.Sc.-Honours(Artificial Intelligence)";"2023";"Running";"0000-00-00";"User";"0000-00-00 00:00:00";;;"DSAI"
